year,date,song_title,movie,composer,singer,lyricist,youtube_id,youtube_title,duration,official,verified,downloaded,download_path,view_count,error
1977,2026-03-25,Viruman - Madura Veeran Video ,Madhura Veeraman,Ilaiyaraaja,S.P. Balasubrahmanyam,Vairamakrishnan,Q8GhYhDqiRI,Viruman - Madura Veeran Video ,228,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/Q8GhYhDqiRI_Viruman - Madura Veeran Video.%(ext)s,,
1978,2026-03-25,#onedaycm #incedinginfotainers Uttarkhand's one day CM #ShrishtiGoswami tamil ஒரு நாள் முதல்வர்,Muthalvar,Ilaiyaraaja,S.P. Balasubrahmanyam,Vairamakrishnan,nRDUGrH5lNs,#onedaycm #incedinginfotainers Uttarkhand's one day CM #ShrishtiGoswami tamil ஒரு நாள் முதல்வர்,80,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/nRDUGrH5lNs_onedaycm incedinginfotainers Uttarkhands one day C.%(ext)s,,
1980,2026-03-25,Mandram Vantha Thendralukku HD Video Song ,Mouna Ragam,Ilaiyaraaja,S.P. Balasubrahmanyam,Vaali,7xUXnI7Wt4k,Mandram Vantha Thendralukku HD Video Song ,424,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/7xUXnI7Wt4k_Mandram Vantha Thendralukku HD Video Song.%(ext)s,,
1982,2026-03-25,Kaiyam Kaiyam,Raja Kaiyyam,Ilaiyaraaja,S.P. Balasubrahmanyam,Vairamakrishnan,YYBr4cCimwY,Kaiyam Kaiyam,158,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/YYBr4cCimwY_Kaiyam Kaiyam.%(ext)s,,
1984,2026-03-25,Unnaithane Thanjam Endru ,Nallavanukku Nallavan,Ilaiyaraaja,S. Janaki,Vaali,-jqkWhRk-NI,Unnaithane Thanjam Endru ,253,N,N,N,,,
1985,2026-03-25,Nila Adhu Vaanathumele - Nayakan ,Nayagan,Ilaiyaraaja,S.P. Balasubrahmanyam,Vaali,-UPuzR_Vkr0,Nila Adhu Vaanathumele - Nayakan ,290,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/-UPuzR_Vkr0_Nila Adhu Vaanathumele - Nayakan.%(ext)s,,
1986,2026-03-25,Pooja Pooja Bhoomiyum Maanavum - Swapnanagal,Pooja Pooja,Ilaiyaraaja,S.P. Balasubrahmanyam,Vaali,_AgquAijQss,Pooja Pooja Bhoomiyum Maanavum - Swapnanagal,245,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/_AgquAijQss_Pooja Pooja Bhoomiyum Maanavum - Swapnanagal.%(ext)s,,
1987,2026-03-25,Hara Hara Shembhu Shembhu,Shembhu,Ilaiyaraaja,S.P. Balasubrahmanyam,,JVQ0VIs8dx0,Hara Hara Shembhu Shembhu,31,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/JVQ0VIs8dx0_Hara Hara Shembhu Shembhu.%(ext)s,,
1988,2026-03-25,Chekka Chivantha Vaanam - Hayati Video ,Thayagu,Ilaiyaraaja,S.P. Balasubrahmanyam,Vairamakrishnan,dP8DdszDd2s,Chekka Chivantha Vaanam - Hayati Video ,168,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/dP8DdszDd2s_Chekka Chivantha Vaanam - Hayati Video.%(ext)s,,
1989,2026-03-25,Adaludan Padalai Kettu... ஆடலுடன் பாடலை கேட்டு...  Mano & P. Susheela. Movie: Pudhu Vasantham.,Pudhu Vasantham,Ilaiyaraaja,S.P. Balasubrahmanyam,Vaali,60HZ0jLwMTA,Adaludan Padalai Kettu... ஆடலுடன் பாடலை கேட்டு...  Mano & P. Susheela. Movie: Pudhu Vasantham.,80,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/60HZ0jLwMTA_Adaludan Padalai Kettu ஆடலடன படல கடட  Mano  P Sush.%(ext)s,,
1980,2026-03-25,Vaa Vaa Anbe Anbe Video Song - Agni Natchathiram ,Mouna Ragam,Ilaiyaraaja,S. Janaki,Vaali,mc_Z5D297eQ,Vaa Vaa Anbe Anbe Video Song - Agni Natchathiram ,271,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/mc_Z5D297eQ_Vaa Vaa Anbe Anbe Video Song - Agni Natchathiram.%(ext)s,,
1983,2026-03-25,Thendral Ennai HD Video Song ,Nallavanukku Nallavan,Ilaiyaraaja,S. Janaki,Vaali,DTctcqHbaxY,Thendral Ennai HD Video Song ,244,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/DTctcqHbaxY_Thendral Ennai HD Video Song.%(ext)s,,
1984,2026-03-25,Paari Vallal - Part - 1,Nallavanukku Nallavan,Ilaiyaraaja,S.P. Balasubrahmanyam,Vairamakrishnan,aE2EOCijDu0,Paari Vallal - Part - 1,137,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/aE2EOCijDu0_Paari Vallal - Part - 1.%(ext)s,,
1985,2026-03-25,மனசு மயங்கும் மௌனகீதம் ,Nayagan,Ilaiyaraaja,S. Janaki,,dxieZAgB3wE,மனசு மயங்கும் மௌனகீதம் ,338,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/dxieZAgB3wE_மனச மயஙகம மனகதம.%(ext)s,,
1986,2026-03-25,Full Video: KANIMAA - RETRO ,Pooja Pooja,Ilaiyaraaja,S. Janaki,Vairamakrishnan,5CEXL8kfGL4,Full Video: KANIMAA - RETRO ,245,N,N,N,,,
